Company,Contact,Email,Phone,Tier,Location,Engagement,Last Activity,Intent,Service_Software
Northeast Heating & Cooling,Richard,service@northeasthc.com,+1 978-691-5822,B,"Haverhill, MA",1,OPENED,,
Engelsma Heating And AC,Timothy,tim@engelsmaheating.com,+1 616-453-0833,C,"Grand Rapids, MI",1,OPENED,,
Watkins Heating And Cooling,Randy,randy@watkinsheating.com,+1 513-456-7705,B,"Mason, OH",1,OPENED,,
Energy Unlimited Heating & Cooling,Mark,mark@euheat.com,+1 603-729-0022,C,"Tilton, NH",1,OPENED,,
Kroll Furnace,Mitch,mitch@krollfurnace.com,+1 616-669-0960,C,"Hudsonville, MI",1,OPENED,,
Third Coast Heating And Air,Rogelio,rogelio@thirdcoastheating.com,+1 616-209-8019,C,,1,2025-12-15,OPENED,
Williams & Associates Mechanical,,contact@plumbingheatingprofessionals.com,+1 860-867-6976,C,"North Stonington, CT",1,OPENED,,
State Plumbing and Heating,Aleksandra,stateplumbingandheating@gmail.com,+1 413-949-5705,C,"Southwick, MA",1,OPENED,,
Haus Heating And Cooling,Travis,tsinghaus@hausheatingandcooling.com,+1 740-491-1192,C,"Cadiz, OH",1,OPENED,,
Barnes Plumbing Heating And AC,Jeffrey,barnesphc92@roadrunner.com,+1 419-822-5383,C,"Delta, OH",1,OPENED,,
HVAC Restorations,,smryysy@gmail.com,+1 816-536-9371,C,,1,2025-12-15,OPENED,
Caribbean Breeze Heating And Air,Teddy,mangrooteddy@gmail.com,+1 937-559-4424,C,,1,2025-12-15,OPENED,
ALDO'S HVAC,,admin@aldoshvac.com,+1 617-942-5000,C,"Medford, MA",1,OPENED,,
Dan Cain Heating And Cooling,Dan,dan@dancainhvac.com,+1 513-922-8222,C,,1,2025-12-15,OPENED,
Hall Plumbing Heating And AC,Scott,scott@hallheat.com,+1 419-562-2273,C,"Bucyrus, OH",1,OPENED,,
Revise Inc,,hello@callrevise.com,+1 800-885-7283,C,"Haverhill, MA",1,OPENED,,
Craftsman Electric,Charlie,charlie@craftsmanelectric.com,+1 513-891-4426,B,"Cincinnati, OH",1,OPENED,,
W Soule And Co Custom Fabrication,Gary,gcline@wsoule.com,+1 269-344-0139,C,"Kalamazoo, MI",1,OPENED,,
Premier Heating and AC,Dan,premierheatingandac@gmail.com,+1 802-522-0818,C,"Barre, VT",1,OPENED,,
Cooper Electric,Greg,gregh@cooper-electric.net,+1 513-271-5000,C,"Cincinnati, OH",1,OPENED,,
Md Denna Heating And Cooling,Mike,md@mddennahtgandclg.com,+1 330-636-7018,C,,1,2025-12-15,OPENED,
Pratti Mechanical Inc,John,info@prattimechanical.com,+1 603-449-4712,C,"Berlin, NH",1,OPENED,,
Decatur Heating Services,Bradley,decaturheating@gmail.com,+1 603-357-9200,C,"Keene, NH",1,OPENED,,
Homestead Heating and Cooling,James,hello@homesteadhvac.com,+1 603-731-6496,C,"Concord, NH",1,OPENED,,
BMR Hvac,,info@bmr-hvac.com,+1 917-755-9906,C,,1,2025-12-12,OPENED,
HVAC Restorations,,arzumonowara@gmail.com,+1 860-912-8483,C,"Norwich, CT",1,OPENED,,
RentAnAC NYC,,hello@rentanac.com,+1 617-903-3274,C,"Malden, MA",1,OPENED,,
Gammon's Heating & Cooling,,gammons@gammons.me,+1 207-466-4155,C,"Saco, ME",1,OPENED,,
Northstar Heating and Cooling,William,info@northstarcapecod.com,+1 508-240-0367,C,"Orleans, MA",1,OPENED,,
Bowman's Cooling & Heating,Jesse,info@bowmansair.com,+1 609-522-0121,C,"Wildwood, NJ",1,OPENED,,
Abbott HVAC,,abbottshvac@gmail.com,+1 603-814-0625,C,"Stratham, NH",1,OPENED,,
Excel Mechanical,,info@excelmechme.com,+1 207-391-7396,C,"Brunswick, ME",1,OPENED,,
Quarry Hills Plumbing & HVAC,,info@quarryhillsplumbing.com,+1 508-500-6832,C,"Mansfield, MA",1,OPENED,,
Triple-O Heating Cooling Electrical,,service@triple-o.net,+1 585-315-1904,C,"Bergen, NY",1,OPENED,,
Highland Home Heating & Cooling,,main@highlandandco.com,+1 518-583-4187,C,"Saratoga Springs, NY",1,OPENED,,
Ferris Plumbing & HVAC,,matt@ferrisplumbingheating.com,+1 603-937-5069,C,"Nashua, NH",1,OPENED,,
Axel Mechanical Services,,axelmechanicalservicesllc@gmail.com,+1 717-342-6382,C,"Columbia, PA",1,OPENED,,
Marco Mechanical Llc,,marcomaildrop@gmail.com,+1 718-912-3737,B,"New York, NY",1,OPENED,,Housecall Pro
Pfluke Home Services,,angela@pflukehomeservices.com,+1 888-903-4822,C,"Jim Thorpe, PA",1,OPENED,,
House To Home Hvac,,service@housetohomehvac.com,+1 585-290-8800,C,"Rochester, NY",1,OPENED,,
Holbrook Heating & AC,Carolyn,carolyn.oaks@gmail.com,+1 315-610-7858,B,"Jamesville, NY",1,OPENED,,
Total Comfort Services Llc,,johnromansky2@gmail.com,+1 201-581-9179,A,"Westwood, NJ",1,OPENED,,ServiceTitan
Ca Heating & Cooling Llc,,caritanar@cahvacservice.com,+1 412-612-0620,C,"Monroeville, PA",1,OPENED,,
Panda Hvac Inc,,pandahvacny@gmail.com,+1 917-971-2632,C,"Brooklyn, NY",1,OPENED,,
Grasshopper Heating Cooling Plumbing,Kristin,khenry8908@gmail.com,+1 518-861-3130,B,"Saratoga Springs, NY",1,OPENED,,
George W Fitzpatrick & Son,,gfitz509@comcast.net,+1 717-576-6100,C,"Carlisle, PA",1,OPENED,,
Comfort Plus,,malakmd@gmail.com,+1 667-238-5192,C,"Cambridge, MD",1,OPENED,,
Dream Team Plumbing Heating,Ryan,ryan@dreamteampa.com,+1 610-609-7773,B,"Havertown, PA",1,OPENED,,
Prime Heating & Cooling,,tsteiner@getprimehvac.com,+1 401-443-6769,A,"Smithfield, RI",1,OPENED,,Housecall Pro
PJ Mechanical,Renee,info@pjhvac.com,+1 617-752-3605,C,"Weymouth, MA",1,OPENED,,
Aeromark Mechanical Inc,,service@aeromarknj.com,+1 973-381-7622,A,"East Rutherford, NJ",1,OPENED,,ServiceTitan
Premier Hvac Services,,info@hvacnycpro.com,+1 718-395-2627,B,"Brooklyn, NY",1,OPENED,,
Jjb Mechanical Llc,,barajas176@gmail.com,+1 585-510-5355,A,"Rochester, NY",1,OPENED,,Housecall Pro
Wahl Family Heating Cooling Plumbing,,wahlcustomerservice@gmail.com,+1 412-206-1922,B,"Oakdale, PA",1,OPENED,,
JP HVAC Heating & Cooling,,info@jpaileshvac.com,+1 603-262-3919,C,,1,2025-12-09,OPENED,
Vigilante Plumbing Heating AC,,anthony@vigilanteplumbing.com,+1 718-530-0404,B,"Brooklyn, NY",1,OPENED,,
High Peaks Plumbing And Heating,,abareconstruction@gmail.com,+1 518-409-8787,A,"Queensbury, NY",1,OPENED,,Housecall Pro
Andreas Plumbing Heating AC,John,jandmsmith1988@gmail.com,+1 570-364-4335,B,"Lehighton, PA",1,OPENED,,
Falso Service Experts,John,miami4ever13@gmail.com,+1 315-446-1375,B,"East Syracuse, NY",1,OPENED,,
Advantage Air Plumbing Heating,,info@advantageairheatingandcooling.com,+1 715-817-4404,C,"Superior, WI",1,OPENED,,
Merrill Mechanical Inc,,info@merrillmechanical.com,+1 802-234-0254,C,"Bethel, VT",1,OPENED,,
North Shore Home Energy,,nshomeenergyconsulting@gmail.com,+1 978-457-1772,C,"South Hampton, NH",1,OPENED,,
Heart HVAC,,heart.hvacnj@gmail.com,+1 201-409-0512,C,"Paterson, NJ",1,OPENED,,
Walley's Heating & Air,Walley,walley@walleys.com,+1 603-718-8545,B,"Nashua, NH",1,OPENED,,
Stream HVAC,Jeff,streamhvacllc@gmail.com,+1 213-324-3639,C,"Los Angeles, CA",1,OPENED,,
Excel Mechanical,,bsouza@excelmechanical.com,+1 888-636-4822,B,"Tewksbury, MA",1,OPENED,,
Dynasty Comfort Solutions,Bill,william@dynastycomfortsolutions.com,+1 508-344-8035,C,"Webster, MA",1,OPENED,,
New Wave,,info@newwaveair.com,+1 609-602-7796,C,"Ocean City, NJ",1,OPENED,,
Vachon's Heating & AC,Michael,vachonsheating@gmail.com,+1 603-217-2688,C,"Farmington, NH",1,OPENED,,
Nistler Plumbing & Heating,,service@npandh.com,+1 218-768-3777,B,"Mcgregor, MN",1,OPENED,,
Hajek Heating & Cooling,Brandan,contact@hajekheating.com,+1 971-453-3958,A,"Salem, OR",1,OPENED,,Housecall Pro
Dodge Cooling and Heating,Keith,keith@dodgecooling.com,+1 978-250-4064,B,"Chelmsford, MA",1,OPENED,,
Frontier Air HVAC,Tony,contact@frontier-hvac.com,+1 857-615-6698,C,"Stoneham, MA",1,OPENED,,
Peak Mechanical,,info@peakmechanicalvt.com,+1 888-771-8881,C,"Waterbury, VT",1,OPENED,,
MCP HVAC,Mihai,mihai@mcphvac.com,+1 603-501-9454,B,"Portsmouth, NH",1,OPENED,,
Advantage Heating & AC,Dan,info@advantageheatingllc.com,+1 503-393-5315,A,"Salem, OR",1,OPENED,,ServiceTitan
East Coast Air,Pearce,office@eastcoastairnh.com,+1 603-505-2556,B,"Hampstead, NH",1,OPENED,,
TruTemp Heating and Cooling,,info@trutempheatingandcooling.com,+1 218-451-4677,C,"Esko, MN",1,OPENED,,
Split Solution HVAC,Connor,service@splitsolution.com,+1 603-988-2429,C,"Dover, NH",1,OPENED,,
New England Climate Control,Jason,neccleslie@gmail.com,+1 603-393-1817,C,"Moultonborough, NH",1,OPENED,,
SkyWalker HVAC,Ryan,ryan@skywalkerhvac.com,+1 603-554-2559,C,"Amherst, NH",1,OPENED,,
Master Plumbing and Heating,John,sales@masterplumbingandheating.com,+1 802-975-0369,C,"Ludlow, VT",1,OPENED,,
Affordable Comfort,Shawn,affordable.comfort3@gmail.com,+1 207-636-9995,C,"Springvale, ME",1,OPENED,,
Karkos Heating Services,Josh,karkosheating@gmail.com,+1 207-212-3369,C,"Turner, ME",1,OPENED,,
Pettigrew Plumbing & HVAC,John,info@ppandhvac.com,+1 603-969-1806,B,"Portsmouth, NH",1,OPENED,,
Gates Hvacr,John,gateshvacr@hotmail.com,+1 413-774-9482,C,"Turners Falls, MA",1,OPENED,,
Aces Highlands Heating & AC,Elijah,info@aceshvacp.com,+1 207-670-8616,C,"Portland, ME",1,OPENED,,
Excel Mechanical of Cape Cod,Bill,info@excelmechanical.com,+1 888-636-4822,C,"Tewksbury, MA",1,OPENED,,
Kingdom Cooling,Michael,gerrymafera@gmail.com,+1 603-260-4634,C,"Derry, NH",1,OPENED,,
American Air Heating & Cooling,Dan,dan@wallawallaair.com,+1 509-525-1339,C,"Walla Walla, WA",1,OPENED,,
Jerry's Plumbing & Heating,Andrew,info@jerrysplumbingme.com,+1 207-985-6203,A,"Arundel, ME",1,OPENED,,Housecall Pro
Hvac Technologies,Mike,service@berkshireheatingcooling.com,+1 412-925-8682,C,"Pittsburgh, PA",1,OPENED,,
Triumph Home Services,Devin,service@triumphhc.com,+1 603-932-5055,A,"West Lebanon, NH",1,OPENED,,ServiceTitan
